"";"X1";"descripcio";"tipusHabitatge";"poble";"parroquia";"dataAnunci";"m2";"numHabitacions";"tipusOferta";"numVisites";"preu";"pm2"
"56";56;"Lloguer 150 m2 - 3 hab. Pis de lloguer a Andorra la Vella, completament reformat, semi moblat i equipat ben situat i molt espaiós. Consta de 3 dormitoris, 2 banys, cuina, safareig i saló menjador amb terrassa i llar de foc. Plaça d'aparcament gran i traster inclosos al preu. Tot exterior i lluminós. Imatges tipus.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";150;3;"Lloguer";734;1350;9
"57";57;"Lloguer 316 m2 - 3 hab. Àtic dúplex moblat en lloguer a Andorra la Vella de aproximadament 316m2 distribuït en tres plantes. A la planta baixa: Tenim el pàrquing amb capacitat per a tres cotxes i un altell que es pot usar com de traster. A la primera planta: un rebedor, un saló menjador amb llar de foc i accés a la terrassa, cuina tancada molt àmplia, un safareig, una habitació doble tipus suite amb amb banyera i accés a la terrassa i un altre bany complet. A la segona planta: hi trobem una sala diàfana amb un billar i accés a la segona terrassa del Àtic, dos dormitoris dobles amb armaris encastats i amb bany complet amb banyera i accés a la terrassa i una habitació doble que s'usa com a despatx també amb accés a la terrassa.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";316;3;"Lloguer";778;2200;6,9620253164557
"58";58;"Lloguer 120 m2 - 3 hab. ~ PISO de ALQUILER de 120 m2 muy bonito ante el lycée.~ Consta de 3 habitaciones dobles, 2 baños completos con ducha y bañera, gran comedor de 30m2, cocina grande de 18m2, armarios empotrados, mucho sol y buenas vistas. Es una quinta planta. Calefacción eléctrica. Parking y agua incluidos en el precio. No animales.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";120;3;"Lloguer";554;1300;10,8333333333333
"59";59;"Lloguer 120 m2 - 3 hab. Pis en zona del Lycee lloguer, de tres habitacions dobles amb armaris, dos banys complets un amb dutxa i l'altre amb banyera, saló menjador de 35m2 molt lluminós, cuina gran. inclou plaça d'aparcament.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";120;3;"Lloguer";503;1300;10,8333333333333
"60";60;"Lloguer 93 m2 - 2 hab. Gran pis centric en zona tranquila de la part alta d'Escaldes a tocar de l'eix comercial.Consta de: saló menjador, 2 habitacions dobles, 1 bany complet, vestidor, cuina independent.Plaça d'aparcament opcional Â€ 98,-No dubteu en trucar al +376 863 300 per mes informació o concertar visita.";"Pis";"escaldes";"escaldes";"+ DE 1 MES";93;2;"Lloguer";320;1017;10,9354838709677
"61";61;"Lloguer 74 m2 - 1 hab. Apartament al centre d'Andorra la Vella, amb tots els serveis al costat (supermercats, parc infantil ...). Consta amb 74,33m2 dividits en rebedor una habitacion un banys amb banyera cuina tancada i saló menjador Despeses de consum apart. Possibilitat de mobles: sofàs, llit més tauletes de nit, taula menjador més cadires Possibilitat  d'aparcament per 148,77€ Despeses de consum a part.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";74;1;"Lloguer";380;900;12,1621621621622
"62";62;"Lloguer 280 m2 - 4 hab. Precioso dúplex situado en el Park Guillemo, Dispone de dos plantas, cuatro habitaciones todas exteriores, las tres dobles, todas ellas con baño interior y vestidor, cuatro baños y un aseo, tres terrazas con unas vistas inmejorables, amplio salón con chimenea, una zona de plancha y lavadero, gran cocina ,en el mismo edifico dispone de dos plazas de parking.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";280;4;"Lloguer";240;3200;11,4285714285714
"63";63;"Lloguer 150 m2 - 3 hab. Esplendido piso de alquiler en  el mismo centro de Andorra la Vella. Inmejorable ubicación. Este piso de 150, 34 m2 consta de 3 dormitorios, 3 baños cocina independiente, salón comedor con salida a balcón además de  una pequeña zona de despensa y lavadero.~ Su distribución:~ -Planta baja: ~ 1 habitación doble~ 1 lavabo con bañera~ Cocina cerrada (no equipada)~ Comedor grandes dimensiones con salida terraza~ 1 habitación tipo suite con lavabo (ducha) incluido con salida terraza. ~ En primera planta~ Acceso por escalera de caracol de madera~ Zona de habitación/diáfana enorme con un baño completo.~ Armarios muy bajitos~ Zona de almacenaje con puerta cerrada.~ También dispone de un practico trastero  y aparcamiento opcional 75€. ~ El gasto de la calefacción se cobrará todos los meses según el consumo que se haga. ~ Perfecta ubicación por estar en el centro y cerca de todos los servicios. ~ No se admiten animales.~ Magnificas vistas. ~ ~ ~ ~";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";150;3;"Lloguer";223;1250;8,33333333333333
"64";64;"Lloguer 86 m2 - 2 hab. Piso céntrico muy luminoso en Prada Ramón~ Piso para alquilar en el centro de Andorra la Vella,en la zona de Prada Ramón,bien situado por su proximidad de todos los servicios.~ Amplio salón comedor,cocina independiente equipada con horno,vitrocerámica y campana extractora, con zona de lavadero.~ Dispone de 2 dormitorios dobles con armarios empotrados y 1 baño completo con bañera.~ Es un piso muy luminoso.~ Edificio con ascensor y ventanas con doble cristal.~ Calefacción a gasoil con contador individual.(según consumo,los meses de invierno).~ Plaza de parquing opcional en el mismo edificio.(97,47€) ~ No se admiten animales.~";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";86;2;"Lloguer";218;946;11
"65";65;"Lloguer 96 m2 - 2 hab. Pis centric en zona residencial i comercial d'Andorra la Vella.Consta de: rebedor, gran saló menjador de 52m2, 2 habitacions en suite (1 amb banyera + 1 amb dutxa), cuina independent equipada, 2 vestidors i gran traster de 16 m2Plaça d'aparcament opcional Â€98,-No dubteu en trucar al +376 863 300 per concertar visita o mes informació.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";96;2;"Lloguer";357;1100;11,4583333333333
"66";66;"Lloguer 101 m2 - 2 hab. Andorra, alquiler.~ Céntrico piso de dos dormitorios, uno de ellos con vestidor y baño y aparte otro baño más. ~ Dispone además de un recibidor, cocina americana, salón-comedor y tambíén una plaza de parking opcional.~ Está en una de las mejores zonas de Andorra la Vella, cerca de todos los centros comerciales, tiendas, supermercados y muy bien comunicada.~ No dude en llamarnos para preguntar sobre esta propiedad.~ Ref. 8998";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";101;2;"Lloguer";653;1275;12,6237623762376
"67";67;"Lloguer 86 m2 - 2 hab. Àtic en lloguer, molt lluminós, de 86 m2 situat al centre neuràlgic comercial d'Andorra la Vella, a pocs minuts de totes les comoditats i serveis que això comporta, el súmmum, per als àvids de no dependre d'un mètode de transport per a realitzar els encàrrecs de la vida quotidiana.Distribuït amb gràcia, des d'un petit Hall d'entrada que ens condueix a un extens saló amb grans finestres que ho il·luminen durant tot el dia.La cuina és tancada, de proporcions notables, dona cabuda a una taula per poder compartir-la en família. La zona de safareig està separada de la cuina de manera molt pràctica.La zona de nit es reparteix en dues habitacions dobles de considerable grandària amb armaris encastats. Les dues comparteixen un bany complet amb banyera.El pàrquing a l'edifici és opcional per 97,47 €, els animals no estan permesos, no es lloga per temporada i les despeses de consum no estan inclosos en el preu.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";86;2;"Lloguer";754;946;11
"68";68;"Lloguer 150 m2 - 3 hab. Espectacular dúplex al centre d'Andorra la Vella a peu de tots els serveis diaris.Entrant a la propietat de 150 m2 trobem una espaiosa zona de rebedor amb armaris encastats i una escala de caragol que condueix a la planta altell, una zona diàfana molt lluminosa amb zona petits armaris i espais per emmagatzemar. També compta amb un petit bany amb dutxa.El saló menjador té una gran dimensió, amb sostres de doble altura i accés al balcó on gaudir de les vistes de la ciutat. La cuina és tancada, molt amplia i funcional amb zona de safareig i rebost. En aquesta planta trobem la suite principal amb acces al balcó que connecta amb el saló. El bany de la suite és amb banyera.També trobem una segona habitació doble amb armari i un bany complet amb banyera.Les despeses de consum a part, no s'accepten animals, no es lloga per temporada i la plaça d'aparcament és opcional a raó de 75,00.-€.";"NaN";"pal";"andorra la vella";"+ DE 1 MES";150;3;"Lloguer";494;1250;8,33333333333333
"69";69;"Lloguer 130 m2 - 2 hab. Grandiós pis totalment reformat de 130m² que consta de 2 habitacions amb armaris encastats (3 suites 1 doble), 2 banys complets amb banyera o dutxa, cuina office tancada i equipada, ampli saló menjador, box tancat per a 2 vehicles i traster.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";130;2;"Lloguer";327;1200;9,23076923076923
"70";70;"Lloguer 140 m2 - 4 hab. Grandiós pis totalment reformat de 140m² que consta de 4 habitacions amb armaris encastats (3 suites 1 doble), 3 banys complets amb banyera o dutxa, cuina office tancada i equipada, ampli saló menjador, plaça de pàrquing i traster.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";140;4;"Lloguer";400;1500;10,7142857142857
"71";71;"Lloguer 86 m2 - 2 hab. Pis centric en zona residencial i comecial d'Andorra la Vella.Consta de: gran saló menjador de 32m2, 2 habitacions, 1 bany complert amb banyera, cuina independent equipada i safareig.Plaça d'aparcament opcional Â€98,-No dubteu en trucar per concertar visita o mes informació al 863300";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";86;2;"Lloguer";363;946;11
"72";72;"Lloguer - 2 hab. Céntrico piso de 2 dormitorios,  2baño, 97 m², salón comedor y cocina en un solo espacio. Parking opcional a 97,47 €";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";122,634920634921;2;"Lloguer";272;1275;10,3967123996894
"73";73;"Lloguer 96 m2 - 2 hab. Andorra, alquiler.~ Piso de alquiler en el mismo centro de Andorra.~ Dispone de un recibidor, dos  dormitorios tipo suite con vestidor y un baño ambos~ También tiene una cocina individual, gran sala de estar- comedor de 53, distribuidor, lavadero , trastero y una plaza de aparcamiento opcional.~ No dude en contactarnos sobre este céntrico apartamento cerca de todos los servicios de Andorra la Vella y Escaldes.~ Ref. 9220";"Pis";"escaldes";"escaldes";"+ DE 1 MES";96;2;"Lloguer";538;1100;11,4583333333333
"74";74;"Lloguer 100 m2 - 3 hab. Andorra, alquiler.~ Céntrico piso de tres dormitorios  uno de ellos tipo suite y dos baños, en una de las mejores zonas de Andorra la Vella, cerca de todos los centros comerciales, tiendas, supermercados y muy bien comunicada.~ Dispone además de una cocina individual, lavadero,  salón comedor, vestidor y tambíén una plaza de parking opcional.~ No dude en llamarnos para preguntar sobre esta propiedad.~ Ref. 9214";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";100;3;"Lloguer";507;1100;11
"75";75;"Lloguer 86 m2 - 2 hab. Apartament molt cèntic, a prop de tots els serveis necessaris (restaurants, botigues, escoles, parcs infantils ...) El pis disposa de 86m2 distribuïts de la següent manera: rebedor sala d'estar d'uns 30m2 cuina amb una zona safareig dues habitacions i un bany complet. Possibilitat de plaça d'aparcament per 97,47 €  Despeses de consum a part";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";86;2;"Lloguer";484;946;11
"76";76;"Lloguer 93 m2 - 2 hab. Andorra, alquiler.~ Céntrico piso de dos dormitorios, uno de ellos con vestidor y baño y aparte otro baño más. ~ Dispone además de un recibidor, cocina independiente, salón-comedor y también una plaza de parking opcional.~ Está en una de las mejores zonas de Andorra la Vella, cerca de todos los centros comerciales, tiendas, supermercados y muy bien comunicada.~ No dude en llamarnos para preguntar sobre esta propiedad.~ Ref. 9199";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";93;2;"Lloguer";503;1000;10,752688172043
"77";77;"Lloguer - 1 hab. Céntrico piso de 1 habitación con vestidor, 1 baño, 60m², recibidor, salón comedor, cocina Parking opcional a 97,47 €";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";122,634920634921;1;"Lloguer";279;1100;8,96971265855553
"78";78;"Lloguer 95 m2 - 2 hab. Andorra, alquiler.~ Céntrico piso de dos dormitorios, uno de ellos con vestidor y baño y aparte otro baño más. ~ Dispone además de un recibidor, cocina americana, salón-comedor y también una plaza de parking opcional.~ Está en una de las mejores zonas de Andorra la Vella, cerca de todos los centros comerciales, tiendas, supermercados y muy bien comunicada.~ No dude en llamarnos para preguntar sobre esta propiedad.~ Ref. 9197";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";95;2;"Lloguer";443;1275;13,4210526315789
"79";79;"Lloguer - 4 hab. Altura piso 5º, piso superficie total 139 m², superficie útil 139 m², habitaciones dobles: 4, 2 baños, cocina, comedor, estado conservación: buen estado.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";122,634920634921;4;"Lloguer";503;1200;9,78514108206057
"80";80;"Lloguer - 3 hab. Céntrico y confortable piso en el centro de la zona comercial y económico de Andorra. Amplio salón comedor y cocina, lavadero, 3 habitaciones, 2 baños. Gastos de consumos aparte. Parking opcional: 90 €";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";122,634920634921;3;"Lloguer";465;984;8,02381568728967
"81";81;"Lloguer 80 m2 - 2 hab. Pis en lloguer al centre d'Andorra la Vella moblat i equipat d'uns 80m² distribuïts en 2 dormitoris (suite i individual), 2 banys complets (dutxa i banyera), cuina independent, rebost i saló menjador.  Zona d'aparcament comunal a prop.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";80;2;"Lloguer";734;950;11,875
"82";82;"Lloguer 74 m2 - 1 hab. Es lloga pis de 74,31m2 consta de 1 habitació, 1 bany, 1 lavabo, saló obert a saló menjador. Armaris encastats. Possibilitat de pàrquing al mateix edifici per 97,47€";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";74;1;"Lloguer";707;875;11,8243243243243
"83";84;"Lloguer 82 m2 - 3 hab. Pis en 82m2, 3 habitacions (2 habitacions dobles i 1 individual, 2 banys, cuina semi-oberta, safareig, armaris encastats a totes les habitacions. Pis alt i lluminòs.Plaça d'aparcament opcional 90€";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";82;3;"Lloguer";1657;984;12
"84";85;"Lloguer 86 m2 - 2 hab. Apartamento muy centrico y bien situado, cerca de la gran avenida comercial de Andorra la Vella, en plena zona financiera y comercail. Dispone de 86 m2 distribuidos en dos habitaciones amplias y un baño completo además de un amplio salón comedor. la cocina dispone de una zona de lvadero~ posibilidad de disponer de parking en la misma finca a un precio adicional de 97.47 euros. parking vigilado~ ~ ABM SERVEIS IMMOBILIARIS está formado por un equipo de consultores dinámico y polivalente con amplia experiencia en el sector inmobiliario. Estamos a su disposición para todo aquello relacionado con su vivienda, inversión, residencia, y otros aspectos de su vida en Andorra. Por otra parte, también gestionamos comunidades, y tramitamos residencias, y creaciones de empresa.  ~ ~ Cuéntenos sus deseos en cuanto a inversión inmobiliaria, y nosotros buscaremos el producto que se adecue a sus necesidades. No dude en ponerse en contacto con nosotros para cualquier duda, aclaración o para coger cita para visitar uno de nuestros inmuebles. ~";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";86;2;"Lloguer";472;946;11
"85";86;"Lloguer 98 m2 - 3 hab. Andorra, alquiler.~ Amplio apartamento de alquiler en Escaldes.~ Dispone de un amplio salón- comedor, 3 dormitorios dobles, y dos baños.~ También tiene una gran cocina office, un recibidor y una plaza de aparcamiento opcional.~ No dude en contactarnos sobre este céntrico apartamento cerca de todos los servicios de Escaldes y Andorra la Vella.~ Ref. 9141";"NaN";"escaldes";"escaldes";"+ DE 1 MES";98;3;"Lloguer";836;1150;11,734693877551
"86";87;"Lloguer 74 m2 - 1 hab. Andorra, alquiler.~ Céntrico piso de un dormitorio con un vestidor, un baño y un lavabo en una de las mejores zonas de Andorra la Vella, cerca de todos los centros comerciales, tiendas, supermercados y muy bien comunicada.~ Dispone además de una cocina individual, recibidor, salón comedor y también una plaza de parking opcional.~ No dude en llamarnos para preguntar sobre esta propiedad.~ Ref. 9137";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";74;1;"Lloguer";658;875;11,8243243243243
"87";88;"Lloguer 150 m2 - 3 hab. Andorra, alquiler.~ Se alquila amplio piso en el mismo centro de Andorra.~ Dispone de recibidor, tres dormitorios y tres baños. 1 tipo suite superior. ~ Además tiene cocina independiente, salón comedor,  terraza de 2.60 m2, trastero, despensa y plaza de parking opcional.~ No dude en consultarnos sobre este céntrico piso al lado de todos los servicios de Andorra la Vella.~ Ref. 8996";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";150;3;"Lloguer";590;1250;8,33333333333333
"88";89;"Lloguer 220 m2 - 3 hab. Àtic dúplex cantoner situat en ple centre d'Escaldes-Engordany en zona privilegiada i a prop de tots els serveis. L'apartament en qüestió consta d'un ampli saló menjador amb vistes i sol durant tot el dia, cuina tancada i equipada amb espais d'emmagatzematge tres habitacions tipus suite i tres banys complet i una terrassa. Podem destacar que està completament moblat i equipat, consta amb fusteria noble feta a mida. Inclou plaça d'aparcament.";"NaN";"escaldes";"escaldes";"+ DE 1 MES";220;3;"Lloguer";814;2200;10
"89";90;"Lloguer 82 m2 - 3 hab. Andorra, alquiler.~ Se alquila piso en zona céntrica en Andorra la Vella.~ Dispone de recibidor, tres dormitorios y dos baños ~ Además tiene cocina independiente, salón comedor,  pasillo, lavadero y plaza de parking opcional.~ No dude en consultarnos sobre este amplio piso en Andorra la Vella, ideal para vivir en familia por estar cerca tanto de supermercados, buenas comunicaciones, servicios como de zonas verdes, parques y el paseo por el río Valira.~ Ref. 9081";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";82;3;"Lloguer";596;985;12,0121951219512
"90";91;"Lloguer 86 m2 - 2 hab. ĞĞ½Ğ´Ğ¾Ñ€Ñ€Ğ°, Ğ°Ñ€ĞµĞ½Ğ´Ğ°.~ Céntrico piso de dos dormitorios y un baño en una de las mejores zonas de Andorra la Vella, cerca de todos los centros comerciales, tiendas, supermercados y muy bien comunicada.~ Dispone además de una cocina individual, lavadero,  salón comedor y tambíén una plaza de parking opcional.~ No dude en llamarnos para preguntar sobre esta propiedad.~ Ref. 9000";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";86;2;"Lloguer";497;945;10,9883720930233
"91";92;"Lloguer 151 m2 - 3 hab. piso tipo duplex , muy céntrico, en pleno centro comercial de Andorra, en una calle adyacente a la Avenida Meritxell~";"Pis";"meritxell";"andorra la vella";"+ DE 1 MES";151;3;"Lloguer";943;1250;8,27814569536424
"92";93;"Lloguer 102 m2 - 2 hab. un lujo al alcance de pocos privilegiados, Un apartamento de 100 m2 ampliio, en alquiler . En pleno centro comercial y financiero del país. dispone de 2 habitaciones dobles con dos baños, además de un vestidor. Cocina integrada en amplio salon comedor~ Aparcamiento opcional en la misma finca~ Acabados de calidad , edificio moderno y recién reformado~";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";102;2;"Lloguer";666;1400;13,7254901960784
"93";94;"Lloguer 110 m2 - 3 hab. Bonic pis situat al centre d'Andorra, avda. Meritxell i Carlemany, rebedor, 2 habitacions, 2 banys amb banyera, vestidor, saló menjador, terrassa de 2.75m2 cuina, safareig, pàrquing 75.-Â€, i despeses a part. 2 trasters.NO AMIMALS.";"Pis";"meritxell";"andorra la vella";"+ DE 1 MES";110;3;"Lloguer";405;1102;10,0181818181818
"94";95;"Lloguer 101 m2 - 2 hab. PIS DE LLOGUER TOTALMENT REFORMT DE NOU. molt a prop del centre comercial Illa.Consta de rebedor, 2 habitacions, 2 banys amb banyer, cuina, safareig, rebost, saló menjador. Plaça d'aparcament a part, 97.47.-Â€NO ANIMALS. PLÀNOL TIPUS!!";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";101;2;"Lloguer";349;1400;13,8613861386139
"95";96;"Lloguer 130 m2 - 3 hab. Fantàstic pis situat en el centre neuràlgic d'Andorra la Vella, consta de rebedor ampli, tot de disseny per estrenar amb punts de llum a tot arreu, 3 dormitoris dobles un en suite totalment equipats amb banyera i dutxa, cuina semi oberta molt espaiosa i innovadora, saló menjador ampli i lluminós, vistes al centre d'Andorra i la muntanya, te una amplia plaça d'aparcament i un traster gran. No perdeu l'oportunitat d'estrenar pis al centre d'Andorra, amb tots els serveis a mà sense tenir d'agafar el cotxe. NO ANIMALS!!";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";130;3;"Lloguer";381;2200;16,9230769230769
"96";97;"Lloguer 566 m2 - 3 hab. Chalet en Andorra la vella, 566 m. de superficie, 210 m. superficie parcela, 40 m2 de terraza, 3 habitaciones dobles, 3 baños,  un aseo, propiedad en buen estado.~Extras: arma. empotrados, barbacoa, calefac central, calefacción, centrico, centros medicos, chimenea, jardín , luminoso, terraza, arboles, centros comerciales, colegios, hospitales, garaje  incluido~~";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";566;3;"Lloguer";669;5900;10,4240282685512
"97";98;"Lloguer 130 m2 - 4 hab. Andorra, alquiler.~ Esta magnífica propiedad nada convencional es ideal para familias, con mucho calor y muy agradable. La distribución es muy buena, pensada para aprovechar al máximo los espacios. En dos zonas bien definidas, la zona de día cuenta con una sala de estar muy bien proporcionada y confortable con muchas opciones, después tenemos una cocina independiente. De aquí pasamos a las habitaciones cuatro dobles y exteriors. Es una propiedad muy singular, y que no nos dejará indiferentes.~ No aceptan animales, incluye una plaza de aparcamiento, calefacción a gasoil.~ Ref. 8779";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";130;4;"Lloguer";587;1720;13,2307692307692
"98";99;"Lloguer 151 m2 - 3 hab. Àtic dúplex de lloguer al centre d'Andorra la Vella, 151m² distribuïts en 3 dormitoris (1 suite), 3 banys, ampli rebedor, àmplia cuina independent i saló menjador amb sortida al balcó.  Vistes i sol. - NO ES PERMETEN ANIMALS";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";151;3;"Lloguer";46;1250;8,27814569536424
"99";100;"Lloguer 290 m2 - 4 hab. Preciós dúplex situat al Parc de Guillemo, Disposa de dues plantes, quatre habitacions totes esteriores, 3 dobles, totes elles amb bany interior i vestidor, quatre banys i un lavabo, tres terrasses amb unes vistes immillorables, ampli saló amb llar de foc, una zona de planxa i rentat, gran cuina, dues places de pàrquing.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";290;4;"Lloguer";322;3200;11,0344827586207
"100";101;"Lloguer 79 m2 - 3 hab. Preciós pis, reformat completament, davant la Lycee, parquets a la baixa, cuina oberta amb molta llum natural. Inclou un traster.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";79;3;"Lloguer";318;1100;13,9240506329114
"101";102;"Lloguer 126 m2 - 3 hab. Bonic àtic cèntric en lloguer, aquest pis consta de 3 dormitoris dobles, amb dos banys complets, cuina gran, saló menjador ampli amb sortida a terrassa, 2 places d'aparcament i un traster. Aquest pis està al costat del centre comercial Pyrenèes, Avda. Meritxell, tots els serveis, restauració i botigues, i parada de bus. Es pot lloguar moblat o sense. NO ANIMALES.";"Pis";"meritxell";"andorra la vella";"+ DE 1 MES";126;3;"Lloguer";323;1800;14,2857142857143
"102";103;"Lloguer 85 m2 - 2 hab. Pis al centre de lloguer completament moblat!Consta de dues habitacions, una suite amb plat de dutxa i una altra doble, un bany complet amb plat de dutxa, cuina tancada i equipada, saló menjador amb llar de foc.Inclou plaça de pàrquing.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";85;2;"Lloguer";309;1250;14,7058823529412
"103";104;"Lloguer 98 m2 - 3 hab. Fantàstic pis TOTALMENT MOBLAT I EQUIPAT. Es tracta d'un habitatge totalment reformada íntegrament, amb 3 dormitoris (2 dobles i 1 ind.), 2 banys complets amb dutxes italianes. Cuina equipada oberta amb barra. Ampli saló menjador. Pati interior. Aparcament inclòs. Tots els serveis al seu abast. Acabats de qualitat. Per entrar a viure MOBLAT I EQUIPAT! ! ! Zona govern d'Andorra.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";98;3;"Lloguer";331;1500;15,3061224489796
"104";105;"Lloguer 448 m2 - 4 hab. Mágnífic apartament céntric de 448m2 amb 74m2 de terrasses. Consta de rebedor, saló de 60m2 amb sortida terrassa de 40m2 comunicat amb un menjador de 28m2 amb sortida terrassa de 11m2, cuina independendent, biblioteca de 42m2, despatx, 1 suite amb vestidor i terrassa,  2 habitacions dobles en suite amb sortida a terrassa,  1 habitación suite, 6 banys,  2 lavabos de cortesía, un altra cuina independent amb safareig, rebost. Pàrquing doble 150€. Despeses apart. No s'admiten animals.";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";448;4;"Lloguer";1127;4055;9,05133928571429
"105";106;"Lloguer 105 m2 - 3 hab. Pis en lloguer reformat, al centre d'Andorra la Vella, d'una superfície de 105m², distribuïts en 3 dormitoris, 2 banys, cuina office i saló menjador amb sortida a terrassa. Plaça d'aparcament gran inclosa al preu de lloguer. Vistes i sol de tarda.";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";105;3;"Lloguer";308;1300;12,3809523809524
"106";108;"Lloguer 130 m2 - 4 hab. Es lloga àtic de 4 dormitoris i dos banys (mig moblat) amb plaça d'aparcament, a l'avinguda Tarragona. Part de les despeses incloses";"NaN";"andorra la vella";"andorra la vella";"+ DE 1 MES";130;4;"Lloguer";1705;1400;10,7692307692308
"107";109;"Lloguer 93 m2 - 2 hab. Pis en lloguer al centre d'Andorra la Vella, 92,45m² distribuïts en 2 dormitoris (suite i doble), 2 banys complets, cuina independent amb safareig i saló menjador amb balcó.  Plaça d'aparcament opcional 97,47Â€. - NO ES PERMETEN ANIMALS";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";93;2;"Lloguer";56;1017;10,9354838709677
"108";110;"Lloguer 550 m2 - 4 hab. Magnífic xalet de 550m2 en lloguer, amb jardí, sol, vistes i Situat en zona privilegiada al centre d'Andorra la Vella al costat de Pyrenees, a 2 minuts caminant. Molt espaiós i amb ascensor. Molts armaris.Planta 0: Rebedor, saló menjador amb sortida a un preciós i privat jardí, cuina office independent i lavabo de cortesía, 3 places exteriors de pàrquingPlanta 1: 3 habitacions dobles, una dels suite i 2 banys complets.Cap de Casa: 1 suite completa molt gran amb banyera d'hidromassatge i dutxa, Sol i vistes panoràmiques.En planta -1: Pàrquing per a 2 cotxes, (possibilitat pàrquing per a 2 cotxes més), celler àmpli amb llar de foc, un bany i bugaderia. Zona d'emmagatzematge. Hi ha espai amb bany on es pot habilitar habitació o zona per al servei.Sense mobles.";"Casa/Xalet/Unifamiliar";"andorra la vella";"andorra la vella";"+ DE 1 MES";550;4;"Lloguer";2432;4500;8,18181818181818
"109";111;"Lloguer 700 m2 - 3 hab. Xalet de luxe de lloguer cèntric a Andorra la Vella.Aquest magnífic xalet-vila en lloguer a Andorra la Vella, construït en una de les millors zones residencials de la parròquia. És a prop del centre de la ciutat i almenys 5 minuts a peu de l'avinguda principal de compres.Arribant a la propietat per carrer privat, trobarem la seva magnífica ubicació. Situat sobre la ciutat. Molt silenciós. Envoltat per la natura i el barri més exclusiu.Aquesta propietat de luxe de 550 m² construïts es divideix en quatre pisos connectats mitjançant ascensor interior. Aquest xalet té 150 m² (sqm) de jardí.Perfecta exposició al sol i vistes panoràmiques. Aquesta propietat ha estat reformada últimament en banys, sala d'estar i en altres estances.";"Pis";"vila";"andorra la vella";"+ DE 1 MES";700;3;"Lloguer";287;5900;8,42857142857143
"110";112;"Lloguer 86 m2 - 2 hab. Pis semi nou en lloguer a Andorra La Vella, cèntric, 86m² distribuïts en 2 dormitoris dobles, bany complet, saló menjador i cuina independent.  Imatges tipus dels acabats interiors.  Plaça d'aparcament opcional. - NO ES PERMETEN ANIMALS";"Pis";"andorra la vella";"andorra la vella";"+ DE 1 MES";86;2;"Lloguer";43;946;11
